task_name,category,subcategory,,
CB-01 ; CEILING CLOSURE - ACT/GYPSUM  (PUBLIC AREA),Interior Finishing,Ceiling,,
CB-01 ; CEILING   PRIME & 1ST COAT  (PUBLIC AREA),Interior Finishing,Ceiling,,
CB-01 ; DOORS  (PUBLIC AREA),Exterior Finishing,Doors,,
CB-01 ; CEILING SUPPORT FOR MEDICAL EQUIPMENT  (EXAM- 1),Interior Finishing,Ceiling,,
CB-01 ; CEILING GRID AND SERVICETILE (EXAM- 1),Interior Finishing,Ceiling,,
CB-01 ; CEILING CLOSURE - ACT/GYPSUM  (EXAM- 1),Interior Finishing,Ceiling,,
CB-01 ; CEILING   PRIME & 1ST COAT  (EXAM- 1),Interior Finishing,Ceiling,,
CB-01 ; CEILING   FINAL PAINT  (EXAM- 1),Interior Finishing,Paint,,
CB-01 ; DOORS  (EXAM- 1),Exterior Finishing,Doors,,
CB-01 ; CEILING   FINAL PAINT  (EXAM- 2),Interior Finishing,Paint,,
CB-01 ; DOORS  (EXAM- 2),Exterior Finishing,Doors,,
"CB-01 ; CEILING   FINAL PAINT  (LASER,WAVE)",Interior Finishing,Paint,,
"CB-01 ; DOORS  (LASER,WAVE)",Exterior Finishing,Doors,,
CB-01 ; COREWALL CONCRETE  (ZONE SC),Structural,Concrete Structure Formation,,
CB-01 ; COREWALL CONCRETE  (ZONE SD),Structural,Concrete Structure Formation,,
CB-P3 ; OVERHEAD COILING DOORS  (PUBLIC AREA),Exterior Finishing,Doors,,
CB-P3 ; CEILING   FINAL PAINT  (PUBLIC AREA),Interior Finishing,Paint,,
CB-P3 ; DOORS  (PUBLIC AREA),Exterior Finishing,Doors,,
CB-P3 ; DOORS  (TR RM),Exterior Finishing,Doors,,
CB-P3 ; CEILING - FINAL PAINT  (TR RM),Interior Finishing,Paint,,
CB-P3 ; OVERALL-COREWALL CONCRETE  (ZONE SC),Structural,Concrete Structure Formation,,
CB-P3 ; OVERALL-COREWALL CONCRETE  (ZONE SD),Structural,Concrete Structure Formation,,
CB-P3 ; CEILING - FINAL PAINT  (MECH RM),Interior Finishing,Paint,,
CB-P3 ; METAL DOORS  (MECH RM),Exterior Finishing,Doors,,
CB-02 ; CEILING   FINAL PAINT  (PUBLIC AREA),Interior Finishing,Paint,,
CB-02 ; DOORS  (PUBLIC AREA),Exterior Finishing,Doors,,
CB-02 ; CEILING   FINAL PAINT  (EXAM- 1),Interior Finishing,Paint,,
CB-02 ; DOORS  (EXAM- 1),Exterior Finishing,Doors,,
CB-02 ; DOORS  (TR RM),Exterior Finishing,Doors,,
CB-02 ; CEILING - FINAL PAINT  (TR RM),Interior Finishing,Paint,,
CB-02 ; COREWALL CONCRETE  (ZONE SC),Structural,Concrete Structure Formation,,
CB-02 ; COREWALL CONCRETE  (ZONE SD),Structural,Concrete Structure Formation,,
CB-02 ; CEILING   FINAL PAINT  (EXAM- 2),Interior Finishing,Paint,,
CB-02 ; DOORS  (EXAM- 2),Exterior Finishing,Doors,,
CB-GL ; DOORS  (TR RM),Exterior Finishing,Doors,,
CB-GL ; CEILING - FINAL PAINT  (TR RM),Interior Finishing,Paint,,
CB-GL ; DOORS  (PUBLIC AREA),Exterior Finishing,Doors,,
CB-GL ; COREWALL CONCRETE  (ZONE SC),Structural,Concrete Structure Formation,,
CB-GL ; COREWALL CONCRETE  (ZONE SD),Structural,Concrete Structure Formation,,
CB-FN ; PILECAP-BLINDING CONCRETE  (ZONE S1),Structural,Concrete Structure Formation,,
CB-FN ; PILECAP-PILECAP CONCRETE  (ZONE S1),Structural,Concrete Structure Formation,,
CB-03 ; COREWALL CONCRETE  (ZONE SD),Structural,Concrete Structure Formation,,
CB-P2 ; COREWALL CONCRETE  (ZONE SC),Structural,Concrete Structure Formation,,
CB-P2 ; COREWALL CONCRETE  (ZONE SD),Structural,Concrete Structure Formation,,
CB-P1 ; COREWALL CONCRETE  (ZONE SC),Structural,Concrete Structure Formation,,
CB-P1 ; COREWALL CONCRETE  (ZONE SD),Structural,Concrete Structure Formation,,
LA-P3 ; CONCRETE WORKS & STAIRCASE (PROMENADE GREEN),Structural,Concrete Structure Formation,,
LA-P3 ; BACKFILL AND FORMATION (PROMENADE GREEN),Structural,Concrete Structure Formation,,
LA-GL ; CONCRETE WORKS INCL. WATERFEATURE E3 (GREAT LAWN),Structural,Concrete Structure Formation,,
LA-GL ; BACKFILL - FORMATION  (GREAT LAWN),Structural,Concrete Structure Formation,,
LA-GL ; CONCRETE WORKS (NORTH PARK AREA),Structural,Concrete Structure Formation,,
CU-P3 ; CEILING - BOARDING WORKS   (SHOPS & TLTS),Interior Finishing,Ceiling,,
CU-P3 ; CEILING PRIME & 1ST COAT   (BATTERY RM),Interior Finishing,Ceiling,,
CU-P3 ; CEILING FINAL COAT   (BATTERY RM),Interior Finishing,Ceiling,,
CU-P3 ; CEILING PRIME & 1ST COAT   (HV  RM),Interior Finishing,Ceiling,,
CU-P3 ; CEILING FINAL COAT   (HV  RM),Interior Finishing,Ceiling,,
CU-P3 ; CEILING PRIME & 1ST COAT   (MAIN TRANSF. RM),Interior Finishing,Ceiling,,
CU-P3 ; CEILING FINAL COAT   (MAIN TRANSF. RM),Interior Finishing,Ceiling,,
CU-P3 ; CEILING PRIME & 1ST COAT   (FAN RM),Interior Finishing,Ceiling,,
CU-P3 ; CEILING FINAL COAT   (FAN RM),Interior Finishing,Ceiling,,
PROCURMENT  FOR CONCRETE 45/20 MS - 7,Structural,Concrete Structure Formation,,
MIR FOR CONCRETE 50/20 MS - 7,Structural,Concrete Structure Formation,,
MAR FOR CONCRETE 50/20 MS - 7,Structural,Concrete Structure Formation,,
PROCURMENT  FOR CONCRETE 50/20 MS - 7,Structural,Concrete Structure Formation,,
MIR FOR READY MIX CONCRETE,Structural,Concrete Structure Formation,,
MAR FOR READY MIX CONCRETE,Structural,Concrete Structure Formation,,
PROCURMENT  FOR READY MIX CONCRETE,Structural,Concrete Structure Formation,,
PREPARTION & SUBMISSION FOR CONCRETE 30/20,Structural,Concrete Structure Formation,,
PREPARTION & SUBMISSION FOR CONCRETE 16/20,Structural,Concrete Structure Formation,,
PREPARTION & SUBMISSION FOR CONCRETE 40/20 MS - 7,Structural,Concrete Structure Formation,,
PREPARTION & SUBMISSION FOR CONCRETE 45/20 MS - 7,Structural,Concrete Structure Formation,,
PREPARTION & SUBMISSION FOR CONCRETE 50/20 MS - 7,Structural,Concrete Structure Formation,,
INSTALLATION OF WINDOWS AND DOORS,Exterior Finishing,Windows,,
E-POXY PAINT,Interior Finishing,Paint,,
CEILING PAINTING WORKS AT LEVEL 6,Interior Finishing,Paint,,
CEILING PAINTING WORKS AT LEVEL 8,Interior Finishing,Paint,,
CEILING PAINTING WORKS AT LEVEL 9,Interior Finishing,Paint,,
CEILING PAINTING WORKS AT LEVEL 12,Interior Finishing,Paint,,
CEILING PAINTING WORKS AT LEVEL 10,Interior Finishing,Paint,,
CEILING PAINTING WORKS AT LEVEL 13,Interior Finishing,Paint,,
CEILING PAINTING WORKS AT LEVEL 7,Interior Finishing,Paint,,
CEILING PAINTING WORKS AT LEVEL 19,Interior Finishing,Paint,,
INSTALLATION OF WINDOWS & DOORS,Exterior Finishing,Windows,,
INSALLATION OF GLASS DOOR & WINDOWS AT BASEMENT 2,Exterior Finishing,Windows,,
DOORS &WINDOWS ERECTION,Exterior Finishing,Windows,,
PROC & DEL ALUMINUM WINDOWS,Exterior Finishing,Windows,,
ALUMINUM WINDOWS,Exterior Finishing,Windows,,
DOORS & WINDOWS ERECTION,Exterior Finishing,Windows,,
C. PARKING B1:HEAVY TRAFFIC FLR PAINT 1ST COAT,Interior Finishing,Paint,,
C. PARKING GF:HEAVY TRAFFIC FLR PAINT 1ST COAT,Interior Finishing,Paint,,
C. PARKING B1:HEAVY TRAFFIC FLR PAINT FINAL COAT,Interior Finishing,Paint,,
C. PARKING GF:HEAVY TRAFFIC FLR PAINT FINAL COAT,Interior Finishing,Paint,,
TA F01:ALUMINUM WINDOWS FRAMES,Exterior Finishing,Windows,,
TA F02:ALUMINUM WINDOWS FRAMES,Exterior Finishing,Windows,,
TA F03:ALUMINUM WINDOWS FRAMES,Exterior Finishing,Windows,,
TA F04:ALUMINUM WINDOWS FRAMES,Exterior Finishing,Windows,,
TA F05:ALUMINUM WINDOWS FRAMES,Exterior Finishing,Windows,,
TA F06:ALUMINUM WINDOWS FRAMES,Exterior Finishing,Windows,,
TA F07:ALUMINUM WINDOWS FRAMES,Exterior Finishing,Windows,,
TA F08:ALUMINUM WINDOWS FRAMES,Exterior Finishing,Windows,,
TA F09:ALUMINUM WINDOWS FRAMES,Exterior Finishing,Windows,,
TA F10:ALUMINUM WINDOWS FRAMES,Exterior Finishing,Windows,,
TA F11:ALUMINUM WINDOWS FRAMES,Exterior Finishing,Windows,,
TA F12:ALUMINUM WINDOWS FRAMES,Exterior Finishing,Windows,,
